time,leftDuration,rightDuration,bottleVolume,pee,poo,sleepDuration,weight,note
2019-07-11 23:51,,,,1,0,,,
2019-07-11 23:51,,,,,,,,
2019-07-12 00:09,,,,1,1,,,
2019-07-12 00:15,,,80,,,,,
2019-07-12 01:00,,,50,,,,,
2019-07-12 01:15,,,,,,3446,,
2019-07-12 02:18,,483,,,,,,
2019-07-12 02:18,268,,,,,,,
2019-07-12 02:47,,,60,,,,,
2019-07-12 03:00,,,,,,7555,,
2019-07-12 05:09,,,,1,1,,,
2019-07-12 05:43,,,110,,,,,
2019-07-12 05:51,,,,,,11548,,
2019-07-12 09:04,,,,1,1,,,
2019-07-12 09:05,,378,,,,,,
2019-07-12 09:38,,,80,,,,,
2019-07-12 09:38,,,,,,7656,,
2019-07-12 12:25,,,,1,1,,,
2019-07-12 12:30,,,130,,,,,
2019-07-12 13:25,,,,,,7531,,
2019-07-12 15:40,,,,1,0,,,
2019-07-12 15:41,769,,,,,,,
2019-07-12 15:41,,392,,,,,,
2019-07-12 16:13,,,80,,,,,
2019-07-12 16:37,,,,,,,4250,
2019-07-12 17:10,,,,,,6533,,
2019-07-12 19:25,,,80,,,,,
2019-07-12 19:55,,,,,,3136,,
2019-07-12 20:50,,,,1,0,,,
2019-07-12 21:07,,,60,,,,,
2019-07-12 21:13,,,,0,1,,,
2019-07-12 21:55,,,,,,3300,,
2019-07-12 22:50,588,,,,,,,
2019-07-12 22:50,,270,,,,,,
2019-07-12 23:26,,,,1,1,,,
2019-07-12 23:35,,,60,,,,,
2019-07-12 23:46,,,,1,1,,,
2019-07-12 23:46,,,,,,,,
2019-07-13 00:30,,,70,,,,,
2019-07-13 01:22,,,,1,0,,,
2019-07-13 01:34,,,80,,,,,
2019-07-13 01:54,,,,,,7274,,
2019-07-13 04:24,,,,1,1,,,
2019-07-13 04:24,,,70,,,,,
2019-07-13 04:35,,,,,,9399,,
2019-07-13 07:15,,,,1,0,,,
2019-07-13 07:33,,,90,,,,,
2019-07-13 07:35,,,,,,3300,,
2019-07-13 08:30,,,,,,8268,,
2019-07-13 08:30,,,30,,,,,
2019-07-13 11:21,,,,1,1,,,
2019-07-13 11:21,,,100,,,,,
2019-07-13 11:26,,,,,,5234,,
2019-07-13 12:58,,,,1,0,,,
2019-07-13 13:37,,,90,,,,,
2019-07-13 13:50,,,,,,5100,,
2019-07-13 15:27,,,,1,1,,,
2019-07-13 16:00,,,70,,,,,
2019-07-13 16:09,,,,1,0,,,
2019-07-13 16:20,,,,,,3300,,
2019-07-13 17:45,,,110,,,,,
2019-07-13 17:50,,,,1,1,,,
2019-07-13 18:05,,,,,,12493,,
2019-07-13 21:33,,,,1,1,,,
2019-07-13 21:53,,338,,,,,,
2019-07-13 22:11,,,,0,1,,,
2019-07-13 22:11,,,150,,,,,
2019-07-13 22:13,,,,,,,4300,
2019-07-13 23:00,,,,,,3327,,
2019-07-13 23:00,,,,,,,,
2019-07-14 00:10,,,60,,,,,
2019-07-14 00:25,,,,1,1,,,
2019-07-14 00:50,,,,,,9345,,
2019-07-14 03:44,,,,1,1,,,
2019-07-14 03:45,,,110,,,,,
2019-07-14 05:10,,,,,,9307,,
2019-07-14 07:55,,,90,,,,,
2019-07-14 08:11,,,,1,1,,,
2019-07-14 09:00,,,30,,,,,
2019-07-14 09:35,,,,,,9953,,
2019-07-14 12:20,,,,1,1,,,
2019-07-14 12:52,,,100,,,,,
2019-07-14 14:38,,,,1,1,,,
2019-07-14 14:43,,,60,,,,,
2019-07-14 14:43,,,,,,,4350,
2019-07-14 14:50,,,,,,4288,,
2019-07-14 16:03,,,,1,1,,,
